
2023-10-15 22:10:40.491 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-10-15 22:10:40.637 [restartedMain] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-10-15 22:10:40.754 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2023-10-15 22:10:41.491 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-15 22:10:41.503 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-15 22:10:42.352 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2f8fd2ad, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@429dac98, org.springframework.security.web.context.SecurityContextPersistenceFilter@2daa593b, org.springframework.security.web.header.HeaderWriterFilter@6c45fe51, org.springframework.security.web.authentication.logout.LogoutFilter@b1c5e9c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7c1c0d4d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c960cdf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@530afbf7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@47929c2f, org.springframework.security.web.session.SessionManagementFilter@2702a034, org.springframework.security.web.access.ExceptionTranslationFilter@3eed8f6a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@767b11d1]
2023-10-15 22:10:42.435 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-15 22:10:43.421 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-10-15 22:10:43.456 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-10-15 22:10:43.467 [restartedMain] INFO  inventarios.com.Sistema.Inventarios.SistemaInventariosApplication - Started SistemaInventariosApplication in 5.639 seconds (JVM running for 6.511)
